id,face_shape,hair_type,hair_length,recommended_hairstyle
1,oval,straight,medium,long layers
2,round,straight,short,pixie cut
3,diamond,coily,medium,lob
4,oval,coily,long,long layers
5,oval,curly,medium,long layers
6,oval,straight,long,curtain bangs
7,heart,straight,long,top knot
8,square,straight,long,shag cut
9,oval,wavy,short,curtain bangs
10,diamond,wavy,long,shag cut
11,square,coily,long,shag cut
12,square,wavy,medium,shag cut
13,oval,straight,medium,long layers
14,oblong,curly,long,curtain bangs
15,oblong,straight,medium,buzz cut
16,diamond,curly,short,top knot
17,heart,curly,long,curtain bangs
18,heart,wavy,long,curtain bangs
19,diamond,wavy,short,shag cut
20,diamond,wavy,medium,lob
21,oval,curly,medium,french braid
22,heart,wavy,medium,bob cut
23,heart,wavy,short,curtain bangs
24,round,straight,medium,lob
25,round,straight,short,pixie cut
26,square,curly,short,bob cut
27,round,wavy,medium,side-swept bangs
28,square,wavy,medium,shag cut
29,oblong,curly,medium,curtain bangs
30,square,coily,short,side-swept bangs
31,heart,wavy,short,bob cut
32,round,coily,long,side-swept bangs
33,diamond,coily,medium,lob
34,square,curly,short,shag cut
35,heart,wavy,short,bob cut
36,round,straight,long,lob
37,oval,coily,short,curtain bangs
38,square,wavy,medium,side-swept bangs
39,oblong,curly,medium,curtain bangs
40,heart,straight,long,top knot
41,oblong,straight,long,buzz cut
42,round,straight,medium,lob
43,oval,straight,medium,long layers
44,oval,wavy,short,long layers
45,square,coily,long,side-swept bangs
46,diamond,straight,medium,lob
47,oval,curly,long,curtain bangs
48,oblong,curly,short,buzz cut
49,oblong,coily,medium,bun
50,square,straight,medium,shag cut
51,round,coily,short,pixie cut
52,round,curly,medium,side-swept bangs
53,oval,curly,medium,french braid
54,oblong,coily,long,bun
55,diamond,wavy,medium,lob
56,heart,straight,medium,top knot
57,round,wavy,long,lob
58,heart,curly,short,bob cut
59,heart,straight,medium,top knot
60,heart,straight,short,curtain bangs
61,heart,curly,medium,curtain bangs
62,oblong,curly,short,curtain bangs
63,oblong,straight,medium,bun
64,oblong,coily,medium,buzz cut
65,oblong,curly,long,bun
66,round,coily,medium,lob
67,heart,curly,medium,curtain bangs
68,diamond,wavy,short,top knot
69,diamond,wavy,long,shag cut
70,square,coily,medium,bob cut
71,heart,coily,long,bob cut
72,heart,straight,medium,top knot
73,square,wavy,short,side-swept bangs
74,oval,straight,long,curtain bangs
75,square,curly,long,bob cut
76,oval,straight,long,curtain bangs
77,diamond,coily,medium,lob
78,oval,curly,long,french braid
79,round,wavy,medium,lob
80,oblong,straight,short,bun
81,oval,wavy,medium,french braid
82,square,straight,medium,shag cut
83,round,coily,medium,pixie cut
84,heart,straight,long,top knot
85,diamond,wavy,short,top knot
86,square,straight,long,bob cut
87,oval,coily,long,curtain bangs
88,round,curly,short,pixie cut
89,heart,straight,short,bob cut
90,round,wavy,long,pixie cut
91,round,wavy,short,pixie cut
92,oval,coily,long,french braid
93,oval,wavy,medium,long layers
94,round,coily,long,lob
95,heart,straight,medium,curtain bangs
96,round,curly,short,side-swept bangs
97,diamond,wavy,short,lob
98,oblong,curly,long,bun
99,oval,curly,medium,french braid
100,oblong,straight,medium,bun
