forehead width (cm),jaw width (cm),face length (cm),face width (cm),face shape,best hairstyle
13.702251831407299,12.724585517615884,17.306009073393636,14.490912966525228,Square,Soft Curls
13.664631576696275,13.35963530928392,18.084700340370908,13.225751735802623,Diamond,Tousled Waves
14.718267753418562,11.072230197802048,18.924932167641526,13.756551110105196,Heart,Chin-Length Bob
14.19471569440841,10.229002331922645,18.44751247556778,13.390787624909768,Oval,Side Swept Bangs
14.674758267875717,13.282522235210484,18.614628060176305,13.971958029876783,Oblong,Curtain Bangs
14.227641299968374,13.509272777614202,18.67867704617001,13.388239249066093,Oblong,Curtain Bangs
14.337292985462689,12.47426335742379,20.040309907164374,13.74272567423292,Oblong,Curtain Bangs
13.314043081600774,12.7916731126986,18.39320471144918,13.893291809857981,Diamond,Tousled Waves
14.66569132827088,10.55020990371004,18.79943646590458,14.069022961676612,Oval,Side Swept Bangs
14.74243769276129,10.958904993947387,18.50681144517618,14.275281413001007,Heart,Chin-Length Bob
15.527180777841862,12.772544794650186,19.120413892072836,12.453718125912012,Oblong,Curtain Bangs
13.670451778797858,12.997291895542375,19.167905293043592,13.472299826286136,Diamond,Tousled Waves
13.709307129217283,11.263242836926237,16.807906297930803,13.844092486302694,Heart,Chin-Length Bob
12.761840173070379,13.50957766315454,15.966153054168515,13.86030302426002,Round,Long Straight
14.89529345801857,13.350354554777418,18.546189966329127,13.237536899933529,Oblong,Curtain Bangs
14.214535343046492,13.393951837519682,18.284936841379036,13.475931934043807,Oblong,Curtain Bangs
12.434112217863746,13.17466914030008,16.74073766274291,14.341432703743065,Round,Long Straight
13.991732600232211,13.242737925939368,17.012297742408382,14.1267327219231,Square,Soft Curls
13.944218998952914,13.677594596783193,17.270825064361127,14.380197870426441,Square,Soft Curls
13.555077003253974,13.450287526760032,18.03608820806549,13.30361523150104,Round,Long Straight
13.555293958606665,10.78703141064633,18.10350952042376,13.359129438532305,Oval,Side Swept Bangs
13.879813653314201,13.108800211019346,19.82401776253897,13.556022808403574,Oblong,Curtain Bangs
14.262461648446582,12.77464490842819,16.417715142612458,12.589509269009545,Round,Long Straight
13.603015070830716,14.485718112270282,17.782475750246828,13.912648456842735,Square,Soft Curls
13.970740682830723,13.619840189577461,17.62238939066977,14.415714561282844,Square,Soft Curls
13.742853870077024,11.668880569415206,18.287897257073688,13.278781778675663,Heart,Chin-Length Bob
14.179660367699196,14.926957819029683,16.927827927899518,14.220336169297878,Round,Long Straight
13.636337664578509,14.077689802593168,17.75341349417695,14.124777467851661,Square,Soft Curls
13.973871266995337,10.556124068303241,19.360904744277022,13.667475546902185,Oval,Side Swept Bangs
14.6099031052972,13.117672157333038,19.383563216359583,13.356193988471787,Oblong,Curtain Bangs
14.008470507633861,10.600990906537195,17.91964137146602,13.23261718730689,Oval,Side Swept Bangs
14.286286559774597,13.325670103290099,18.377127087539773,13.652278574466719,Oblong,Curtain Bangs
14.446565469323955,12.935579640234987,18.196327510988006,13.194082193685711,Oblong,Curtain Bangs
13.29576091821433,13.24271976207743,18.043837112251314,12.869711972389752,Diamond,Tousled Waves
13.317361498144624,13.087315355825462,18.53385044083839,13.509650056847615,Diamond,Tousled Waves
15.250731813789159,10.505346194734624,18.480653713362628,13.371262267144841,Heart,Chin-Length Bob
14.261109005979526,13.535697077048038,17.533981737359017,13.826467323316756,Round,Long Straight
13.746848614465142,13.762980436214484,18.93545684700828,13.334138408503577,Oblong,Curtain Bangs
15.107877623985688,10.060762541633853,18.851856292181594,13.249900899564809,Oval,Side Swept Bangs
13.919409631183516,14.020350676420518,16.748094155122413,13.628697571301007,Square,Soft Curls
14.772865797109604,13.554960355215645,18.961844049958703,13.3423801947732,Oblong,Curtain Bangs
13.84368872914069,14.696127572620508,17.414652722210143,14.143628470960287,Square,Soft Curls
14.68698672751666,12.907298070827412,19.80338753092817,12.664544921961282,Oblong,Curtain Bangs
14.074170082800977,13.062430261496543,18.10303424654255,12.927117507635426,Diamond,Tousled Waves
13.587320251725208,12.966135678192824,16.68256723538307,13.952624883669426,Round,Long Straight
14.968564210193545,10.556620735146106,18.682812166929768,13.046598229794858,Oval,Side Swept Bangs
13.368961235031007,14.410139274250385,16.620409614390503,14.85750432861303,Round,Long Straight
13.867600738720643,13.983522709663353,18.06626269967658,14.673523700310698,Square,Soft Curls
14.431047115478696,10.318265466177005,18.469257920504525,13.62297379702578,Oval,Side Swept Bangs
14.580298384057993,13.211593015597012,19.315565206889392,13.875616792122889,Oblong,Curtain Bangs
13.606006612002679,13.316389007728704,17.47565169495552,12.565068766597031,Diamond,Tousled Waves
14.660178763913759,11.461317561684531,17.551334030549885,13.598050302126994,Heart,Chin-Length Bob
13.440350388268755,13.61925920543498,18.264676202139317,13.48583495445574,Diamond,Tousled Waves
13.834346759574006,13.120153843016697,18.48118839222219,13.617567180400867,Diamond,Tousled Waves
14.159918271940075,10.507243225649741,18.50963684671403,13.68001700202851,Oval,Side Swept Bangs
13.362253160725011,12.519247510989786,18.009593802126844,14.238917951439333,Diamond,Tousled Waves
14.082437751489927,13.114023648335376,19.50629760047044,12.97735778499227,Oblong,Curtain Bangs
13.029575823746416,13.413385403513473,16.74273554682474,13.534404350805447,Round,Long Straight
14.133534620185415,13.401300415977635,18.989533949492078,13.366785535672879,Oblong,Curtain Bangs
14.750066000482136,13.320673242211152,17.114314123190532,13.764989963981755,Round,Long Straight
13.585738454845018,13.67455140452765,17.2718892131547,14.208656565913191,Square,Soft Curls
15.024664858114074,13.13083882309662,16.77565211879807,13.990054732634777,Round,Long Straight
14.66357622918191,11.64988713600526,18.46687553495712,12.303816052048923,Heart,Chin-Length Bob
12.596852240924541,13.242840196974695,17.513390632881375,13.231989811322261,Round,Long Straight
12.278662315459867,13.785668399994387,17.097408938572517,13.471862091205296,Round,Long Straight
13.991051887539466,10.085648894973202,18.567023649335724,13.235256856495512,Oval,Side Swept Bangs
14.413920485011433,12.098576009815936,18.549637119231452,12.819102867460636,Oblong,Curtain Bangs
14.365100446952473,11.228102460822095,18.21939694861996,12.578693862703174,Heart,Chin-Length Bob
14.226042667608992,13.427319136955315,19.9579799966473,13.065339251838909,Oblong,Curtain Bangs
13.584685718105634,12.531307356323746,17.046464847858694,14.263824155438737,Diamond,Tousled Waves
14.479879368318148,12.131321251134803,17.114338171131266,13.732020503382312,Heart,Chin-Length Bob
14.778470831827933,13.708611405905646,17.11345299814303,14.026218793821918,Round,Long Straight
13.549049187903181,13.737701203786468,18.677311452850393,13.442267656073849,Oblong,Curtain Bangs
13.767043763353135,10.89060471268102,18.543722906159974,13.311646590705854,Heart,Chin-Length Bob
15.147569531879999,11.470048757981512,16.875897098919918,13.912426236482158,Heart,Chin-Length Bob
14.212438198546495,11.878847799628849,17.826164436709455,12.73197954958006,Heart,Chin-Length Bob
14.557619820323938,12.666819552159152,18.06423942381872,13.45211849699446,Heart,Chin-Length Bob
14.657380649259295,13.291964198131115,19.103105941236826,12.832260990217515,Oblong,Curtain Bangs
13.940338314143059,14.021846469035928,16.571259817277603,14.740599076808707,Round,Long Straight
14.168579559107494,12.864317641354173,19.512139394223393,13.139854276064979,Oblong,Curtain Bangs
14.830044330983498,11.357694731740295,17.78288474083621,13.719251354607911,Heart,Chin-Length Bob
14.633110509781007,9.675304908466675,17.8435535033694,13.860786308045563,Oval,Side Swept Bangs
13.752724081894298,13.228670891373865,16.316638881664527,13.477145544452794,Round,Long Straight
