forehead width (cm),jaw width (cm),face length (cm),face width (cm),face shape,best hairstyle
13.8,13.2,17.9,15.0,Square,Layered Waves
13.3,13.4,19.5,13.7,Oblong,Curtain Bangs
14.4,12.9,16.3,14.9,Square,Side Part
14.4,10.2,18.1,13.6,Oval,Long Layers
15.0,9.8,17.4,13.9,Oval,Wavy Bob
14.7,10.5,19.1,13.6,Oval,Long Layers
13.7,13.1,16.9,13.8,Round,Pixie Cut
13.9,13.3,18.9,13.6,Oblong,Shoulder Length Waves
12.3,13.6,18.0,13.5,Diamond,Asymmetrical Bob
13.5,14.2,17.7,13.5,Round,Long Straight
14.4,10.7,17.4,13.8,Oval,Wavy Bob
13.5,14.4,16.9,14.5,Round,Pixie Cut
14.0,14.4,17.2,14.0,Square,Soft Curls
14.0,12.7,16.9,14.9,Round,Pixie Cut
15.0,10.9,20.2,13.0,Oval,Wavy Bob
14.6,13.5,19.6,12.6,Oblong,Choppy Layers
14.5,13.4,17.0,14.6,Square,Soft Curls
14.6,10.2,17.8,12.9,Oval,Wavy Bob
14.2,14.1,16.7,13.4,Square,Side Part
14.8,14.0,17.4,13.5,Round,Long Straight
15.0,10.6,19.0,13.8,Oval,Side Swept Bangs
14.3,11.5,17.6,13.9,Heart,Side Bangs
14.8,10.6,18.6,13.2,Oval,Side Swept Bangs
13.9,12.3,17.8,13.5,Heart,Chin-Length Bob
14.1,12.7,19.6,13.1,Oblong,Choppy Layers
14.8,14.3,17.4,14.1,Square,Soft Curls
14.4,11.6,17.8,13.8,Heart,Side Bangs
15.0,10.4,18.0,13.9,Oval,Wavy Bob
14.5,11.7,18.3,13.6,Heart,Side Bangs
14.0,13.4,18.3,13.6,Diamond,Fringe
14.2,13.3,19.0,13.5,Oblong,Choppy Layers
14.1,13.7,18.7,13.4,Oblong,Choppy Layers
13.6,14.2,16.6,14.7,Round,Pixie Cut
14.0,12.9,16.4,14.1,Round,Long Straight
14.4,11.1,18.6,14.1,Heart,Chin-Length Bob
13.9,13.6,17.3,13.5,Square,Layered Waves
14.3,13.0,17.7,13.4,Round,Layered Bob
14.6,11.9,17.1,13.5,Heart,Chin-Length Bob
14.5,13.4,19.3,12.9,Oblong,Curtain Bangs
15.0,11.5,17.9,12.9,Heart,Textured Lob
13.9,12.3,19.3,14.0,Diamond,Asymmetrical Bob
13.6,13.3,18.3,14.4,Diamond,Tousled Waves
15.0,13.9,17.7,14.1,Square,Soft Curls
15.2,10.2,17.9,14.1,Oval,Wavy Bob
14.4,12.9,17.4,14.2,Round,Long Straight
14.4,13.3,19.6,13.6,Oblong,Shoulder Length Waves
14.4,11.8,17.0,13.4,Heart,Side Bangs
13.3,13.9,18.3,14.6,Diamond,Fringe
13.8,13.6,19.1,13.2,Oblong,Curtain Bangs
15.3,10.2,19.0,13.9,Oval,Long Layers
13.1,12.4,17.7,13.8,Diamond,Tousled Waves
13.6,14.1,17.2,14.0,Square,Soft Curls
14.1,13.1,18.8,13.2,Oblong,Shoulder Length Waves
14.0,13.5,18.1,15.0,Square,Side Part
14.2,13.6,17.9,13.1,Oblong,Choppy Layers
12.8,12.9,17.6,13.6,Diamond,Tousled Waves
14.5,12.7,18.5,12.9,Oblong,Curtain Bangs
13.9,10.3,17.9,13.7,Oval,Side Swept Bangs
14.3,12.8,18.5,13.6,Oblong,Curtain Bangs
14.0,13.9,17.4,14.5,Round,Layered Bob
14.7,13.0,17.3,13.4,Round,Layered Bob
13.1,14.2,17.2,14.1,Square,Soft Curls
14.9,12.1,18.1,13.6,Heart,Side Bangs
14.0,13.6,18.8,13.2,Oblong,Curtain Bangs
14.8,13.3,16.9,14.2,Square,Soft Curls
14.3,11.6,17.7,13.5,Heart,Textured Lob
13.7,13.2,18.7,14.2,Diamond,Fringe
13.7,14.4,17.8,13.1,Square,Side Part
14.5,12.2,18.5,13.4,Heart,Textured Lob
14.1,13.6,17.4,14.3,Square,Side Part
14.4,13.3,18.6,13.2,Oblong,Choppy Layers
13.1,13.9,16.7,13.6,Round,Long Straight
14.0,12.5,17.4,14.1,Square,Side Part
13.1,13.7,17.0,14.6,Square,Layered Waves
15.3,9.9,18.2,13.5,Oval,Long Layers
